"Marca temporal","Puntuación total","Creo que me gustaría utilizar esta aplicación frecuentemente","Creo que me gustaría utilizar esta aplicación frecuentemente [Puntuación]","Creo que me gustaría utilizar esta aplicación frecuentemente [Comentarios]","Encuentro esta aplicación innecesariamente compleja","Encuentro esta aplicación innecesariamente compleja [Puntuación]","Encuentro esta aplicación innecesariamente compleja [Comentarios]","Pienso que la aplicación es fácil de usar","Pienso que la aplicación es fácil de usar [Puntuación]","Pienso que la aplicación es fácil de usar [Comentarios]","Creo que necesitaría soporte para hacer uso de la aplicación","Creo que necesitaría soporte para hacer uso de la aplicación [Puntuación]","Creo que necesitaría soporte para hacer uso de la aplicación [Comentarios]","Encuentro las diversas funciones de la aplicación bastante bien integradas","Encuentro las diversas funciones de la aplicación bastante bien integradas [Puntuación]","Encuentro las diversas funciones de la aplicación bastante bien integradas [Comentarios]","He encontrado demasiada inconsistencia en esta aplicación","He encontrado demasiada inconsistencia en esta aplicación [Puntuación]","He encontrado demasiada inconsistencia en esta aplicación [Comentarios]","Creo que la mayoría de la gente aprendería a hacer uso de la aplicación rápidamente","Creo que la mayoría de la gente aprendería a hacer uso de la aplicación rápidamente [Puntuación]","Creo que la mayoría de la gente aprendería a hacer uso de la aplicación rápidamente [Comentarios]","He encontrado la aplicación bastante incómoda para usar","He encontrado la aplicación bastante incómoda para usar [Puntuación]","He encontrado la aplicación bastante incómoda para usar [Comentarios]","Me he sentido muy seguro haciendo uso de la aplicación","Me he sentido muy seguro haciendo uso de la aplicación [Puntuación]","Me he sentido muy seguro haciendo uso de la aplicación [Comentarios]","Necesitaría aprender un montón de cosas antes de poder manejar la aplicación","Necesitaría aprender un montón de cosas antes de poder manejar la aplicación [Puntuación]","Necesitaría aprender un montón de cosas antes de poder manejar la aplicación [Comentarios]","¿Cuál crees que es el mejor aspecto de esta interfaz y por qué?","¿Cuál crees que es el mejor aspecto de esta interfaz y por qué? [Puntuación]","¿Cuál crees que es el mejor aspecto de esta interfaz y por qué? [Comentarios]","¿Qué crees que necesita ser mejorado y por qué?","¿Qué crees que necesita ser mejorado y por qué? [Puntuación]","¿Qué crees que necesita ser mejorado y por qué? [Comentarios]"
"2023/08/15 10:58:14 a. m. GMT-5","0.00 / 0","Muy de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Algo en desacuerdo","-- / 0","","Gestionar de forma clara el uso de energía del hogar","-- / 0","","Algunos iconos y accesibilidad","-- / 0",""
"2023/08/15 11:19:13 a. m. GMT-5","0.00 / 0","Ni en acuerdo ni en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Ni en acuerdo ni en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Ni en acuerdo ni en desacuerdo","-- / 0","","Ni en acuerdo ni en desacuerdo","-- / 0","","Algo de acuerdo","-- / 0","","El diseño","-- / 0","","La interfaz, la usabilidad ","-- / 0",""
"2023/08/15 11:28:42 a. m. GMT-5","0.00 / 0","Algo de acuerdo","-- / 0","","Algo en desacuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Ni en acuerdo ni en desacuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Ni en acuerdo ni en desacuerdo","-- / 0","","Algo en desacuerdo","-- / 0","","Screen","-- / 0","","For me is ok.","-- / 0",""
"2023/08/15 12:09:57 p. m. GMT-5","0.00 / 0","Algo de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Todo está claro e interactivo ","-- / 0","","Todo me parece bien","-- / 0",""
"2023/08/15 7:44:46 p. m. GMT-5","0.00 / 0","Algo de acuerdo","-- / 0","","Ni en acuerdo ni en desacuerdo","-- / 0","","Ni en acuerdo ni en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo en desacuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Diseño","-- / 0","","Interfaz, usabilidad","-- / 0",""
"2023/08/15 8:06:20 p. m. GMT-5","0.00 / 0","Algo de acuerdo","-- / 0","","Ni en acuerdo ni en desacuerdo","-- / 0","","Ni en acuerdo ni en desacuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Ni en acuerdo ni en desacuerdo","-- / 0","","Me parece que el uso de los iconos es acertado, ya que ayudan a identificar las funcionalidades.
","-- / 0","","Siento que tal vez simplificar algunos iconos haría que el flujo de la aplicación sea más práctico.
","-- / 0",""
"2023/08/15 9:52:20 p. m. GMT-5","0.00 / 0","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","La facilidad de uso. Porque permite controlar el consumo energético de forma sencilla.","-- / 0","","Me parece que no debe ser mejorado.","-- / 0",""
"2023/08/16 4:46:24 a. m. GMT-5","0.00 / 0","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Agregar sonidos","-- / 0","","Mostrar cuanto dinero se ahorra el usuario con el uso de la aplicación.","-- / 0",""
"2023/08/16 10:42:35 a. m. GMT-5","0.00 / 0","Muy de acuerdo","-- / 0","","Algo en desacuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Ni en acuerdo ni en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Algo en desacuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Ni en acuerdo ni en desacuerdo","-- / 0","","La distribución de elementos","-- / 0","","Algunas interacciones","-- / 0",""
"2023/08/16 10:45:01 a. m. GMT-5","0.00 / 0","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Algo de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","Muy de acuerdo","-- / 0","","Muy en desacuerdo","-- / 0","","las pantallas","-- / 0","","esta bien","-- / 0",""